first	second
TP53	MAEA
UBC	ZNF736
UBC	ZNF732
NPHP4	PI4KA
NTN1	PI4KA
DDX58	PI4KA
FN1	PI4KA
LCK	PI4KA
UBC	PI4KA
ITGA4	PI4KA
TNNT1	PI4KA
VCAM1	PI4KA
CTNNB1	PI4KA
SIRT1	PI4KA
KATNB1	PI4KA
CCDC8	PI4KA
C8orf33	PI4KA
MRPL44	PI4KA
STRN4	PI4KA
SUMO2	LOC441155
CFLAR	DAXX
DAPK3	DAXX
AR	DAXX
SPN	DAXX
PAX3	DAXX
STAT3	DAXX
ESRRG	DAXX
HABP4	DAXX
HIPK1	DAXX
SERBP1	DAXX
CREBBP	DAXX
MCRS1	DAXX
PARK7	DAXX
HIPK2	DAXX
TP63	DAXX
DMAP1	DAXX
RASSF1	DAXX
APC	EXPH5
VCAM1	TUBB6
UBD	EIF3CL
ICAM1	EIF3CL
UBC	EIF3CL
RPS27	EIF3CL
RPL35	EIF3CL
RPS5	EIF3CL
CD81	EIF3CL
RPS20	EIF3CL
RPS3A	EIF3CL
RPS23	EIF3CL
RPS11	EIF3CL
RPS4X	EIF3CL
RPL23A	EIF3CL
RPS6	EIF3CL
RPS26	EIF3CL
STK4	EIF3CL
DYNC1I2	EIF3CL
CUL3	EIF3CL
SND1	EIF3CL
IGSF8	EIF3CL
SEPT5	SEPT10
SMAD9	ERVV-1
MEX3C	HNRNPUL1
NUDCD1	GBA
CD247	IQGAP2
SHMT2	RABGAP1L
STAT4	RABGAP1L
GABARAPL1	RABGAP1L
MAP1LC3A	RABGAP1L
NXF1	RABGAP1L
RABGAP1	RABGAP1L
UBC	GPR89B
YBX1	KLHL13
CACNA1A	LTBP1
METTL18	HNRNPCL3
UBC	HNRNPCL3
FN1	IGLL5
UBC	IGLL5
SUZ12	IGLL5
EZH2	IGLL5
RNF2	IGLL5
RXRB	SGSM2
CACNA1A	LTBP3
UBC	TMEM150C
DAB1	ARID5A
MDFI	ARID5A
UBC	ALG1L2
UBC	C4orf51
EGR1	C22orf46
UBC	RASA4B
UBC	UMAD1
NR2F6	HSBP1L1
UBC	PRRT4
GABBR2	BTBD19
ARHGAP17	BTBD19
GIPC3	BTBD19
UBC	MCRIP1
DDX6	MCRIP1
ULK2	MCRIP1
UBC	ZNF878
UBC	ZNF717
CBX8	ZNF717
CD247	YWHAZ
YBX1	MAP7D1
VAC14	CDRT4
BAG3	JRK
UBC	JRK
ATP4A	PSCA
CLEC2A	KLRF2
CUL4A	LOC285556
HECW2	ANKRD65
SMAD9	ZNF587B
ATP6V1A	CALM1
ADAMTS4	ACAN
CTSB	ACAN
VCAN	ACAN
LUM	ACAN
TNFAIP6	ACAN
TNR	ACAN
ADAMTS1	ACAN
VCAM1	RAVER1
UBD	NACA
RAD21	NACA
PRKN	NACA
NUPR1	NACA
NPHP4	NACA
FN1	NACA
ISG15	NACA
UBC	NACA
SPP1	NACA
ATF2	NACA
H2AFX	NACA
TBP	NACA
MAPK3	NACA
YWHAB	NACA
TXLNA	NACA
HDGF	NACA
YWHAE	NACA
SUMO1	NACA
MDM2	NACA
POU5F1	NACA
TARDBP	NACA
CUL3	NACA
NEDD8	NACA
HUWE1	NACA
SMYD1	NACA
FBXO32	NACA
CCDC8	NACA
UCHL5	NACA
NSD2	GPATCH4
UBC	GPATCH4
CDK9	GPATCH4
SUMO2	GPATCH4
CUL1	GPATCH4
CUL3	GPATCH4
TARBP2	GPATCH4
PAXIP1	GPATCH4
RNF2	GPATCH4
FOXP3	GPATCH4
ADARB2	GPATCH4
VCAM1	ALYREF
MEX3C	SMC4
MEX3C	WDR6
HMBOX1	NPIPA7
TRAF4	NPIPA7
RBMY1A1	PRPF31
RBMY1F	PRPF31
CD247	ANO2
YWHAE	FNDC10
UBC	DHRS4L2
NCAM2	PRNP
ERI3	PRNP
ADAM23	PRNP
P4HB	PRNP
UBC	PRNP
CLU	PRNP
NCAM1	PRNP
SYN1	PRNP
YWHAB	PRNP
HSPA4	PRNP
GRM5	PRNP
DPP6	PRNP
CACNA2D1	PRNP
APLP2	PRNP
CNTN1	PRNP
SPARCL1	PRNP
NECTIN1	PRNP
PAN2	PRNP
SIRT1	PRNP
SRRM2	PRNP
UBC	RFPL4AL1
UBC	HECTD4
TAL1	HECTD4
YWHAZ	HECTD4
CDC5L	FAM120C
NPHP4	SAC3D1
SEM1	SAC3D1
UBC	ATP5J2-PTCD1
SHMT2	ATP5J2-PTCD1
YWHAE	ATP5J2-PTCD1
UBE2E2	ATP5J2-PTCD1
RNF2	ATP5J2-PTCD1
MOV10	ATP5J2-PTCD1
NXF1	ATP5J2-PTCD1
RBP1	BRMS1
ARID4A	BRMS1
EEF1A1	BRMS1
GOLGB1	BRMS1
BRMS1L	BRMS1
SIN3A	BRMS1
BSCL2	SMLR1
UBC	GOLGA8M
CCDC151	NECAB2
EIF4E2	NECAB2
EHHADH	NECAB2
BYSL	NECAB2
KIFC3	NECAB2
UBC	POTEB2
UBC	TRIM77
CEP70	KANSL1
TRAF4	KANSL1
KIFC3	KANSL1
UBC	SEMA4B
GIPC2	SEMA4B
UBC	CXXC4
CTNNB1	CXXC4
FBXO25	CXXC4
AIP	HSP90AA1
FKBP6	HSP90AA1
AHSA1	HSP90AA1
TTC4	HSP90AA1
HSP90AB1	HSP90AA1
PPP5C	HSP90AA1
FKBP4	HSP90AA1
CDC37	HSP90AA1
CDC37L1	HSP90AA1
UNC45B	HSP90AA1
CHORDC1	HSP90AA1
FKBPL	HSP90AA1
UBC	DNASE2
XRN1	DNASE2
FBXO6	DNASE2
DNAJB11	DNASE2
RUVBL2	DNASE2
RUVBL1	DNASE2
PRKN	AGPS
NIPSNAP2	AGPS
PEX14	AGPS
ADRB2	AGPS
UBC	AGPS
ABCD3	AGPS
ABCD1	AGPS
PEX5	AGPS
SUMO3	AGPS
SUMO2	AGPS
YWHAE	AGPS
MDM2	AGPS
NEDD8	AGPS
ATG16L1	AGPS
KBTBD7	AGPS
HDAC11	AGPS
ATG101	AGPS
DDA1	AGPS
CCDC8	AGPS
PRKAG2	AGPS
ADRB2	UBXN8
